,ISO3,Country,Region,Sub-Region,Latitude,Longitude,Population,Internet Users,Internet % Of Population,Median Age,Gdp Purchasing Power Parity,Education Expenditures
95,IRN,Iran,Asia,Southern Asia,32.0,53.0,83024745.0,36070000.0,44.1,30.8,1640000000000.0,3.8
96,IRQ,Iraq,Asia,Western Asia,33.0,44.0,40194216.0,8098401.0,21.2,20.2,649300000000.0,0.0
97,IRL,Ireland,Europe,Northern Europe,53.0,-8.0,5068050.0,4069432.0,82.2,37.1,353300000000.0,3.8
98,ISR,Israel,Asia,Western Asia,31.5,34.75,8424904.0,6521539.0,79.8,30.1,317100000000.0,5.9
99,ITA,Italy,Europe,Southern Europe,42.83333333,12.83333333,62246674.0,38025661.0,61.3,45.8,2317000000000.0,4.1
100,JAM,Jamaica,Americas,Caribbean,18.25,-77.5,2812090.0,1336653.0,45.0,28.6,26060000000.0,5.3
101,JPN,Japan,Asia,Eastern Asia,36.0,138.0,126168156.0,116565962.0,92.0,47.7,5443000000000.0,3.5
102,JEY,Jersey,Europe,Northern Europe,49.25,-2.16666666,99602.0,58000.0,59.6,37.7,5569000000.0,0.0
103,JOR,Jordan,Asia,Western Asia,31.0,36.0,10458413.0,5099674.0,62.3,22.8,89000000000.0,3.6
104,KAZ,Kazakhstan,Asia,Central Asia,48.0,68.0,18744548.0,14100751.0,76.8,30.9,478600000000.0,2.9
105,KEN,Kenya,Africa,Eastern Africa,1.0,38.0,48397527.0,12165597.0,26.0,20.0,163700000000.0,5.2
106,KIR,Kiribati,Oceania,Micronesia,1.41666666,173.0,109367.0,14649.0,13.7,25.0,227000000.0,0.0
107,KWT,Kuwait,Asia,Western Asia,29.5,45.75,2916467.0,2219972.0,78.4,29.4,289700000000.0,0.0
108,KGZ,Kyrgyzstan,Asia,Central Asia,41.0,75.0,5849296.0,1976006.0,34.5,26.8,23150000000.0,7.2
109,LAO,Laos,Asia,South-Eastern Asia,18.0,105.0,7234171.0,1258000.0,18.2,23.4,49340000000.0,2.9
110,LVA,Latvia,Europe,Northern Europe,57.0,25.0,1923559.0,1570374.0,79.9,43.9,54020000000.0,5.3
111,LBN,Lebanon,Asia,Western Asia,33.83333333,35.83333333,6100075.0,4747542.0,76.1,31.3,88250000000.0,2.5
112,LSO,Lesotho,Africa,Southern Africa,-29.5,28.5,1962461.0,534360.0,27.4,24.4,6656000000.0,6.4
113,LBR,Liberia,Africa,Western Africa,6.5,-9.5,4809768.0,314717.0,7.3,17.8,6112000000.0,3.8
114,LBY,Libya,Africa,Northern Africa,25.0,17.0,6754507.0,1326194.0,20.3,29.4,61970000000.0,0.0
115,LIE,Liechtenstein,Europe,Western Europe,47.26666666,9.53333333,38547.0,37214.0,98.1,43.4,4978000000.0,2.6
116,LTU,Lithuania,Europe,Northern Europe,56.0,24.0,2793284.0,2122884.0,74.4,44.0,91470000000.0,4.2
117,LUX,Luxembourg,Europe,Western Europe,49.75,6.16666666,605764.0,567698.0,97.5,39.3,62110000000.0,3.9
118,MAC,Macau,Asia,Eastern Asia,22.16666666,113.55,606340.0,460000.0,77.6,39.8,71820000000.0,3.1
119,MKD,North Macedonia,Europe,Southern Europe,41.83333333,22.0,2118945.0,1475000.0,70.4,38.2,31030000000.0,0.0
120,MDG,Madagascar,Africa,Eastern Africa,-20.0,47.0,25683610.0,1151563.0,4.7,19.9,39850000000.0,2.8
121,MWI,Malawi,Africa,Eastern Africa,-13.5,34.0,19842560.0,1785369.0,9.6,16.6,22420000000.0,4.0
122,MYS,Malaysia,Asia,South-Eastern Asia,2.5,112.5,31809660.0,24384952.0,78.8,28.7,933300000000.0,4.7
123,MDV,Maldives,Asia,Southern Asia,3.25,73.0,392473.0,232210.0,59.1,28.6,6901000000.0,4.3
124,MLI,Mali,Africa,Western Africa,17.0,-4.0,18429893.0,1940978.0,11.1,15.8,41220000000.0,3.1
125,MLT,Malta,Europe,Southern Europe,35.83333333,14.58333333,449043.0,320902.0,77.3,41.8,19260000000.0,5.3
126,MHL,Marshall Islands,Oceania,Micronesia,9.0,168.0,75684.0,21857.0,29.8,23.1,196000000.0,0.0
127,MRT,Mauritania,Africa,Western Africa,20.0,-12.0,3840429.0,661913.0,18.0,20.7,17280000000.0,2.6
128,MUS,Mauritius,Africa,Eastern Africa,-20.28333333,57.55,1364283.0,717618.0,53.2,35.7,28270000000.0,5.0
129,MEX,Mexico,Americas,Central America,23.0,-102.0,125959205.0,73334032.0,59.5,28.6,2463000000000.0,5.2
130,FSM,"Micronesia, Federated States Of",Oceania,Micronesia,6.91666666,158.25,103643.0,33000.0,31.5,25.5,348000000.0,12.5
131,MDA,Moldova,Europe,Eastern Europe,47.0,29.0,3437720.0,2492444.0,71.0,37.0,23720000000.0,6.7
132,MCO,Monaco,Europe,Western Europe,43.73333333,7.4,30727.0,29116.0,95.2,53.8,7672000000.0,1.4
133,MNG,Mongolia,Asia,Eastern Asia,46.0,105.0,3103428.0,674949.0,22.3,28.8,39730000000.0,4.1
134,MNE,Montenegro,Europe,Southern Europe,42.5,19.3,614249.0,450442.0,69.9,38.9,11080000000.0,0.0
135,MSR,Montserrat,Americas,Caribbean,16.75,-62.2,5315.0,2860.0,54.6,33.8,167400000.0,5.1
136,MAR,Morocco,Africa,Northern Africa,32.0,-5.0,34314130.0,19611643.0,58.3,29.7,298600000000.0,5.3
137,MOZ,Mozambique,Africa,Eastern Africa,-18.25,35.0,27233789.0,4543284.0,17.5,17.3,37090000000.0,6.5
138,MMR,Burma,Asia,South-Eastern Asia,22.0,98.0,55622506.0,14264308.0,25.1,28.5,329800000000.0,0.8
139,NAM,Namibia,Africa,Southern Africa,-22.0,17.0,2533224.0,756118.0,31.0,21.4,26600000000.0,3.1
140,NRU,Nauru,Oceania,Micronesia,-0.53333333,166.91666666,9692.0,5100.0,53.5,26.7,160000000.0,0.0
141,NPL,Nepal,Asia,Southern Asia,28.0,84.0,29717587.0,5716419.0,19.7,24.5,79190000000.0,5.1
142,NLD,Netherlands,Europe,Western Europe,52.5,5.75,17151228.0,15385203.0,90.4,42.7,924400000000.0,5.4
143,NCL,New Caledonia,Oceania,Melanesia,-21.5,165.5,282754.0,201000.0,74.0,32.3,11110000000.0,0.0
144,NZL,New Zealand,Oceania,Australia and New Zealand,-41.0,174.0,4545627.0,3958642.0,88.5,38.1,189000000000.0,6.3
145,NIC,Nicaragua,Americas,Central America,13.0,-85.0,6085213.0,1466152.0,24.6,26.2,36400000000.0,4.3
146,NER,Niger,Africa,Western Africa,16.0,8.0,19866231.0,805702.0,4.3,15.5,21860000000.0,3.5
147,NGA,Nigeria,Africa,Western Africa,10.0,8.0,203452505.0,47759904.0,25.7,18.3,1121000000000.0,0.0
148,NIU,Niue,Oceania,Polynesia,-19.03333333,-169.86666666,1618.0,1090.0,91.6,0.0,10010000.0,0.0
149,NFK,Norfolk Island,Oceania,Australia and New Zealand,-29.03333333,167.95,1748.0,765.0,34.6,0.0,0.0,0.0
150,MNP,Northern Mariana Islands,Oceania,Micronesia,15.2,145.75,51994.0,16000.0,30.6,33.4,1242000000.0,0.0
151,NOR,Norway,Europe,Northern Europe,62.0,10.0,5372191.0,5122904.0,97.3,39.3,381200000000.0,7.6
152,OMN,Oman,Asia,Western Asia,21.0,57.0,4613241.0,2342483.0,69.8,25.8,190100000000.0,6.7
153,PAK,Pakistan,Asia,Southern Asia,30.0,70.0,207862518.0,31338715.0,15.5,24.1,1061000000000.0,2.8
154,PLW,Palau,Oceania,Micronesia,7.5,134.5,21516.0,7650.0,36.0,33.6,264000000.0,0.0
155,PSE,Gaza Strip,Asia,Western Asia,31.9,35.2,1836713.0,2673000.0,57.4,17.4,0.0,5.3
156,PSE,West Bank,Asia,Western Asia,31.9,35.2,2798494.0,2673000.0,57.4,21.4,21220000000.0,5.3
157,PAN,Panama,Americas,Central America,9.0,-80.0,3800644.0,2000833.0,54.0,29.5,104100000000.0,3.2
158,PNG,Papua New Guinea,Oceania,Melanesia,-6.0,147.0,7027332.0,652071.0,9.6,23.4,30190000000.0,0.0
159,PRY,Paraguay,Americas,South America,-23.0,-58.0,7025763.0,3524045.0,51.3,28.7,88910000000.0,4.5
160,PER,Peru,Americas,South America,-10.0,-76.0,31331228.0,13975422.0,45.5,28.4,430300000000.0,3.9
161,PHL,Philippines,Asia,South-Eastern Asia,13.0,122.0,105893381.0,56956436.0,55.5,23.7,877200000000.0,2.7
162,PCN,Pitcairn Islands,Oceania,Polynesia,-25.06666666,-130.1,54.0,54.0,100.0,0.0,0.0,0.0
